water cycle ,水循環
water cycles ,水循環(複數)
biogeochemical cycle ,生物地球化學循環
biogeochemical cycles ,生物地球化學循環(複數)
oceanic circulation model ,海洋循環模式
oceanic circulation models ,海洋循環模式(複數)
oceanic circulation modelling ,海洋循環模式
oceanic circulation modeling ,海洋循環模式
ice-ocean,冰與海
coral bleach ,珊瑚白化
coral bleaching ,珊瑚白化
coastal management ,海岸管理
coastal habitat ,海岸棲息地
coastal habitats ,海岸棲息地(複數)
marine debris ,海洋垃圾
ocean acidification ,海洋酸化
fishery ,漁場
fisheries ,漁場(複數)
overfishing ,過度捕撈
sustainable yield ,可維持產量
marine protected area ,海洋保護區域
marine protected areas ,海洋保護區域
marine conservation ,海洋保育
ecotourism ,生態觀光業
community based conservation ,社區保育
community-based conservation ,社區保育
marine land slide ,海洋地滑
marine pollution ,海洋汙染
nutrient runoff ,營養鹽逕流
coastal ecotourism ,沿海生態觀光
destructive fishing ,具破壞性的捕撈
local fisheries ,當地漁場
artisanal fishers ,家計型漁業
fisheries rights ,水產權、漁業權
species richness ,物種豐富度
traditional ecological knowledge ,傳統環境知識
small Island development states ,小島嶼開發中國家
marine quota ,海洋配額
marine economy ,海洋經濟
marine policy,海洋政策
paleoclimate ,古氣候
paleoceanography ,古氣候學
radiocarbon ,放射性碳
genetics ,遺傳
medicine ,藥物
drug ,藥物、毒品
engineering ,工程
aerosol,氣膠、氣溶膠
